url,length_url,nb_dots,nb_hyphens,nb_slash,nb_qm,nb_eq,nb_at,nb_digits,has_https,suspect_words,label
http://www.bank-secure.com/home/8584,29,2,0,3,0,1,0,3,0,1,0
http://www.paypal.com/home/1008,28,0,2,1,0,0,1,2,0,1,1
https://www.paypal.com/account/1560,17,3,2,3,0,1,1,6,1,1,1
http://www.ebay.com/update/7476,24,3,0,3,1,0,1,5,1,1,1
https://www.paypal.com/login/8539,20,1,2,4,0,1,1,3,0,0,1
https://www.paypal.com/verify/7039,26,1,1,4,0,1,0,5,0,0,0
https://www.paypal.com/secure/9137,22,3,2,4,0,1,1,5,1,0,0
http://www.facebook.com/login/9753,27,0,0,5,1,0,0,6,0,0,1
http://www.ebay.com/login/5301,40,3,2,2,0,0,0,6,0,1,1
https://www.amazon.com/login/1602,24,2,0,3,1,1,1,5,0,0,1
https://www.bank-secure.com/update/9079,21,2,1,1,1,1,1,6,1,1,0
https://www.bank-secure.com/login/5960,26,1,0,3,1,0,1,6,1,1,1
http://www.bank-secure.com/home/3973,28,3,1,2,1,1,0,2,0,0,1
http://www.bank-secure.com/account/8989,18,3,0,1,0,1,1,2,0,0,0
http://www.bank-secure.com/secure/8554,29,1,2,4,0,0,1,3,0,0,0
https://www.paypal.com/account/5853,23,2,1,5,0,1,0,3,1,0,1
http://www.bank-secure.com/verify/5081,34,3,2,5,0,0,1,5,0,0,0
http://www.paypal.com/update/9847,39,1,2,4,0,0,1,5,1,1,1
http://www.facebook.com/secure/6288,19,2,0,4,1,1,1,3,1,1,1
https://www.google.com/verify/3005,36,2,1,2,1,1,0,6,0,1,0
http://www.ebay.com/login/3664,25,1,1,1,1,1,0,4,0,1,1
http://www.google.com/verify/1706,38,0,2,5,0,1,0,3,1,1,0
https://www.amazon.com/account/3968,26,1,2,1,0,1,1,4,0,1,0
http://www.amazon.com/update/7295,24,0,2,5,1,1,0,3,1,0,1
http://www.facebook.com/verify/4070,24,0,2,1,0,1,1,3,1,0,0
http://www.google.com/home/2154,20,1,0,3,1,1,1,6,1,0,1
https://www.bank-secure.com/secure/6639,38,1,2,3,1,1,1,3,0,1,0
https://www.google.com/home/3841,37,1,2,1,1,1,1,2,1,0,1
https://www.paypal.com/login/4259,28,3,0,4,1,1,0,4,0,0,1
https://www.ebay.com/login/6675,25,3,2,5,0,0,0,3,1,0,0
https://www.facebook.com/account/4757,15,3,1,5,1,0,1,3,0,1,0
http://www.facebook.com/verify/3695,30,3,2,4,0,1,1,3,0,1,0
https://www.google.com/home/2018,32,0,0,5,0,1,1,3,0,1,0
http://www.ebay.com/login/7211,36,3,0,2,0,0,0,6,1,0,0
http://www.facebook.com/update/9048,27,0,0,3,1,0,0,3,0,1,0
http://www.ebay.com/secure/1174,25,1,1,3,1,1,1,6,1,1,1
http://www.ebay.com/secure/3173,35,2,0,4,1,1,1,4,0,1,1
https://www.facebook.com/update/9536,33,3,2,1,0,1,1,2,1,1,1
http://www.paypal.com/account/4069,31,3,2,3,1,1,0,3,1,0,0
http://www.ebay.com/login/5378,15,1,0,3,0,0,1,4,1,1,1
http://www.bank-secure.com/verify/4934,36,3,0,5,1,1,0,5,1,0,0
http://www.ebay.com/login/5788,26,2,1,3,1,1,0,4,0,0,1
http://www.paypal.com/account/7708,18,2,2,1,1,1,1,6,1,0,0
https://www.ebay.com/update/6483,40,0,1,5,0,0,1,5,0,1,0
https://www.ebay.com/account/7877,16,3,2,3,1,1,0,6,1,1,1
https://www.facebook.com/secure/2933,40,2,0,1,1,0,0,2,0,1,1
http://www.bank-secure.com/secure/1113,37,3,1,3,1,0,0,3,0,1,1
https://www.bank-secure.com/home/3545,22,2,2,2,1,0,0,2,1,1,0
http://www.facebook.com/account/1900,24,1,0,1,1,1,1,2,0,1,1
http://www.ebay.com/secure/9136,16,1,1,3,1,1,1,6,0,0,0
http://www.amazon.com/update/9549,20,0,2,2,0,0,0,2,1,1,0
https://www.paypal.com/account/5904,23,0,1,3,0,1,0,5,1,1,0
http://www.facebook.com/secure/7206,37,2,1,1,1,0,1,5,0,0,1
https://www.facebook.com/secure/6722,18,2,0,2,1,1,1,6,1,0,1
http://www.amazon.com/login/9361,27,0,2,5,1,1,1,2,0,0,1
http://www.facebook.com/secure/6827,34,1,2,2,0,0,0,3,0,1,0
https://www.bank-secure.com/update/8976,31,0,1,4,0,1,1,3,1,1,1
https://www.google.com/update/5413,22,2,2,2,1,1,1,6,0,1,1
https://www.amazon.com/account/4413,37,1,1,4,1,1,1,4,1,1,0
https://www.google.com/login/4989,26,1,2,5,1,0,0,6,1,0,0
http://www.google.com/login/2919,39,0,0,2,1,0,0,2,0,0,1
https://www.amazon.com/update/3004,31,2,0,1,1,0,1,2,0,0,1
https://www.paypal.com/login/4955,33,1,0,5,0,1,0,6,1,0,0
http://www.facebook.com/login/7141,39,3,1,4,1,1,0,5,1,0,0
https://www.amazon.com/account/1093,32,1,1,2,1,0,0,6,0,0,0
https://www.paypal.com/update/6983,16,3,1,4,1,0,1,4,0,0,0
https://www.facebook.com/secure/3915,35,0,1,1,0,0,0,2,0,1,1
http://www.ebay.com/login/6135,32,0,2,5,1,1,1,4,0,0,0
https://www.amazon.com/update/5387,37,2,1,4,0,1,0,3,0,0,0
https://www.ebay.com/update/6160,34,2,1,3,1,1,0,5,1,0,0
https://www.google.com/secure/5349,21,3,0,5,1,0,1,4,0,1,0
https://www.amazon.com/home/4977,29,3,1,4,1,0,1,2,0,1,1
http://www.ebay.com/verify/4886,21,3,0,2,0,1,1,4,1,0,1
https://www.paypal.com/secure/7008,23,3,0,5,1,1,0,5,0,0,0
https://www.ebay.com/login/6460,40,0,2,1,1,0,0,2,1,1,1
http://www.amazon.com/secure/8059,33,1,2,1,1,1,1,4,0,0,0
http://www.ebay.com/update/3075,24,2,1,4,0,0,1,4,0,0,0
http://www.ebay.com/update/4129,24,1,0,5,1,1,0,4,1,0,0
https://www.paypal.com/account/1288,29,0,1,1,1,0,1,2,1,0,1
https://www.amazon.com/login/3175,17,1,2,3,1,0,1,3,0,1,0
https://www.paypal.com/login/4386,35,3,0,2,1,0,1,2,0,1,1
https://www.bank-secure.com/home/5982,36,1,1,3,1,1,0,5,0,1,1
https://www.bank-secure.com/home/5079,37,3,2,5,1,1,0,2,0,1,1
https://www.ebay.com/verify/6712,27,2,1,2,0,0,1,4,0,1,0
https://www.google.com/secure/9789,16,1,0,2,0,1,0,3,1,1,0
http://www.facebook.com/home/6828,31,3,1,1,1,1,1,6,0,1,1
http://www.amazon.com/verify/5317,35,2,1,5,1,1,1,5,1,1,1
https://www.ebay.com/secure/1080,20,0,1,5,0,1,1,5,0,1,0
https://www.facebook.com/home/7887,25,3,0,2,0,1,0,5,1,1,1
http://www.amazon.com/home/4331,23,1,0,4,0,1,1,6,1,0,1
https://www.paypal.com/secure/7612,24,3,2,4,1,1,0,6,1,0,1
http://www.bank-secure.com/secure/2438,32,0,0,4,1,0,0,2,0,0,0
http://www.paypal.com/secure/6391,37,2,1,4,1,1,0,6,0,1,1
https://www.paypal.com/home/6269,16,3,2,5,0,1,0,4,1,0,0
https://www.google.com/verify/8776,21,3,2,5,1,0,0,6,0,0,1
http://www.amazon.com/home/6088,25,2,2,3,0,0,1,2,0,1,0
http://www.ebay.com/login/6721,25,2,2,5,1,1,0,3,1,1,0
http://www.paypal.com/home/8652,33,2,1,5,0,1,1,5,0,1,1
http://www.amazon.com/verify/3859,36,1,2,3,1,1,1,5,0,1,1
https://www.paypal.com/verify/8551,28,2,2,1,0,1,0,5,1,1,1
http://www.amazon.com/update/1509,40,2,1,1,1,0,1,4,1,0,1
http://www.amazon.com/account/8086,22,3,0,1,0,1,1,2,1,1,1
http://www.amazon.com/update/6877,28,1,1,5,0,0,0,3,1,0,0
http://www.amazon.com/login/7820,25,2,1,1,1,0,0,3,1,0,1
http://www.bank-secure.com/update/8158,17,3,2,5,0,1,0,6,1,1,0
https://www.amazon.com/home/7056,29,0,0,2,0,1,1,6,0,0,0
http://www.bank-secure.com/update/7485,26,1,2,4,1,0,0,5,1,0,1
http://www.google.com/verify/6049,26,2,2,4,0,0,1,5,0,0,0
http://www.facebook.com/verify/9850,33,2,0,5,0,0,1,3,1,1,1
https://www.google.com/verify/7083,19,3,0,4,0,1,0,5,1,0,1
https://www.facebook.com/account/6190,29,3,1,5,0,0,1,5,1,1,0
http://www.bank-secure.com/account/2737,27,0,1,3,0,0,0,3,1,0,1
http://www.bank-secure.com/login/1713,34,3,0,5,0,1,0,5,0,1,0
https://www.google.com/update/4101,40,2,1,2,0,0,0,6,1,0,1
https://www.google.com/verify/5042,19,1,1,2,0,1,1,5,1,1,0
http://www.google.com/update/5275,23,2,1,3,0,0,1,2,0,1,0
http://www.amazon.com/home/5371,25,1,2,1,1,0,1,4,1,0,1
http://www.facebook.com/account/9541,20,1,2,1,0,0,1,2,0,0,0
http://www.paypal.com/home/2052,23,2,2,1,0,1,0,4,1,0,1
https://www.bank-secure.com/account/5529,23,2,1,2,0,0,1,3,1,0,1
http://www.paypal.com/update/9254,39,1,0,2,1,1,1,3,0,1,0
https://www.bank-secure.com/login/4239,26,0,0,4,1,1,0,3,1,1,0
http://www.facebook.com/account/1828,33,0,1,5,1,0,0,3,0,0,1
https://www.ebay.com/account/9807,15,0,2,3,1,1,0,2,0,1,0
http://www.amazon.com/update/9103,32,2,1,3,1,0,0,5,0,1,1
https://www.google.com/account/7648,25,1,1,5,0,1,0,5,0,1,1
http://www.ebay.com/update/1761,25,1,1,3,0,0,1,5,1,1,1
http://www.ebay.com/verify/5181,19,3,2,1,0,1,1,4,0,0,0
http://www.ebay.com/home/8828,30,3,0,2,0,0,1,6,0,1,0
https://www.paypal.com/verify/5545,29,2,2,3,1,0,0,2,1,0,0
http://www.paypal.com/secure/8111,39,0,0,1,0,1,0,3,0,0,1
http://www.facebook.com/verify/7270,15,2,2,2,1,0,0,2,1,1,0
http://www.bank-secure.com/login/5637,35,0,2,4,1,0,1,2,1,0,1
http://www.facebook.com/verify/4690,30,3,0,1,1,0,1,3,1,0,1
http://www.bank-secure.com/account/6846,16,3,2,5,1,0,0,5,0,1,1
http://www.bank-secure.com/account/3515,26,0,1,3,1,0,0,2,0,1,1
https://www.amazon.com/login/5248,30,3,1,2,0,0,0,6,0,1,1
http://www.google.com/secure/3315,19,1,2,4,1,0,0,3,0,0,1
http://www.ebay.com/home/8307,22,3,2,3,0,0,1,2,1,1,0
http://www.facebook.com/update/6623,18,3,1,5,1,0,1,3,1,1,1
https://www.paypal.com/login/6540,22,3,1,5,1,0,1,6,1,0,0
http://www.facebook.com/secure/8750,36,1,1,3,0,0,0,5,1,1,0
https://www.ebay.com/account/4952,27,3,1,1,0,1,1,4,0,0,1
